"id","projectId","district","village","category","landAffected","displacementStatus","compensationStatus","rrEligibility","rrBenefit","rrStatus"
"FAM-00001","PRJ-001","Mumbai","Sulthanpet","Tenant","0.88","Partially Displaced","Fully Paid","True","Land Allotment","Completed"
"FAM-00002","PRJ-001","Mumbai","Sulthanpet","Occupant","0.6","Partially Displaced","Fully Paid","True","Employment","Completed"
"FAM-00003","PRJ-001","Mumbai","Keezhkattalai","Agricultural Labour","1.03","Partially Displaced","Fully Paid","True","Housing Plot","Completed"
"FAM-00004","PRJ-002","Lucknow","Vadakkukarai","Occupant","0.79","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00005","PRJ-002","Lucknow","Pazhaverkadu","Title Holder","7.95","Not Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00006","PRJ-002","Lucknow","Thenkudi","Occupant","6.13","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00007","PRJ-003","Coimbatore","Manamadurai","Artisan","1.67","Partially Displaced","Assessed","True","Employment","In Progress"
"FAM-00008","PRJ-003","Coimbatore","Sulthanpet","Tenant","5.81","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00009","PRJ-003","Coimbatore","Keeladi","Tenant","5.91","Not Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00010","PRJ-003","Coimbatore","Nallur","Tenant","1.99","Fully Displaced","Assessed","True","Housing Plot","In Progress"
"FAM-00011","PRJ-004","Coimbatore","Thenkudi","Tenant","6.14","Partially Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00012","PRJ-004","Coimbatore","Kodiveri","Artisan","0.81","Partially Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00013","PRJ-004","Coimbatore","Therkku Poigainallur","Tenant","3.55","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00014","PRJ-004","Coimbatore","Pazhaverkadu","Occupant","4.13","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00015","PRJ-004","Coimbatore","Keezhkattalai","Title Holder","6.48","Partially Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00016","PRJ-005","Mumbai","Kallidaikurichi","Agricultural Labour","2.57","Fully Displaced","Assessed","True","Financial Assistance","In Progress"
"FAM-00017","PRJ-005","Mumbai","Sulthanpet","Tenant","0.83","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00018","PRJ-005","Mumbai","Manamadurai","Artisan","7.73","Not Displaced","Assessed","True","Employment","In Progress"
"FAM-00019","PRJ-005","Mumbai","Pazhaverkadu","Artisan","7.04","Not Displaced","Assessed","True","Multiple Benefits","In Progress"
"FAM-00020","PRJ-005","Mumbai","Pazhaverkadu","Artisan","6.38","Fully Displaced","Assessed","True","Employment","In Progress"
"FAM-00021","PRJ-006","Bengaluru","Alampatti","Tenant","7.89","Not Displaced","Fully Paid","True","Land Allotment","Completed"
"FAM-00022","PRJ-006","Bengaluru","Vadakkukarai","Tenant","4.44","Not Displaced","Fully Paid","True","Land Allotment","Completed"
"FAM-00023","PRJ-006","Bengaluru","Thenkudi","Title Holder","4.13","Not Displaced","Fully Paid","True","Housing Plot","Completed"
