"id","projectId","district","village","surveyNumber","awardDate","landArea","awardAmount","beneficiaryCount","status"
"AWD-0001","PRJ-001","Mumbai","Sulthanpet","43/1","2025-11-20","11.88","200.02","28","Declared"
"AWD-0002","PRJ-002","Lucknow","Thenkudi","170/4","2025-11-20","15.12","188.93","24","Approved"
"AWD-0003","PRJ-003","Coimbatore","Kottur","195/1","2025-11-20","28.73","632.97","17","Approved"
"AWD-0004","PRJ-006","Bengaluru","Kodiveri","69/3","2025-11-20","26.22","242.8","33","Declared"
"AWD-0005","PRJ-007","Coimbatore","Vadakkukarai","210/2","2025-11-20","48.3","522.28","32","Declared"
"AWD-0006","PRJ-008","Pune","Devikapuram","81/1","2025-11-20","29.67","716.13","17","Approved"
"AWD-0007","PRJ-009","Lucknow","Kodiveri","154/3","2025-11-20","15.72","157.78","18","Approved"
"AWD-0008","PRJ-010","Coimbatore","Melmaruvathur","129/3","2025-11-20","49.14","534.88","7","Approved"
"AWD-0009","PRJ-012","Bengaluru","Sulthanpet","159/2","2025-11-20","15.6","236.95","22","Approved"
"AWD-0010","PRJ-013","Mumbai","Devikapuram","69/1","2025-11-20","38.26","363.09","26","Approved"
"AWD-0011","PRJ-014","Mumbai","Therkku Poigainallur","242/3","2025-11-20","33.97","613.38","6","Approved"
"AWD-0012","PRJ-015","Chennai","Therkku Poigainallur","92/1","2025-11-20","14.22","448.42","32","Approved"
"AWD-0013","PRJ-016","Bengaluru","Kallidaikurichi","91/4","2025-11-20","9.41","213.64","12","Approved"
"AWD-0014","PRJ-017","Pune","Keeladi","71/3","2025-11-20","12.1","549.32","7","Approved"
"AWD-0015","PRJ-018","Mumbai","Keezhkattalai","257/2","2025-11-20","17.84","277.65","17","Approved"
"AWD-0016","PRJ-019","Lucknow","Kallidaikurichi","55/1","2025-11-20","32.92","816.9","29","Approved"
"AWD-0017","PRJ-020","Bengaluru","Sulthanpet","206/3","2025-11-20","13.76","332.77","27","Approved"
"AWD-0018","PRJ-021","Coimbatore","Sulthanpet","134/2","2025-11-20","14.04","212.14","10","Approved"
"AWD-0019","PRJ-022","Lucknow","Keezhkattalai","16/3","2025-11-20","17.64","261.41","6","Approved"
"AWD-0020","PRJ-023","Lucknow","Manamadurai","41/1","2025-11-20","30","444.15","32","Approved"
"AWD-0021","PRJ-024","Coimbatore","Alampatti","259/1","2025-11-20","29.23","367.82","33","Approved"
"AWD-0022","PRJ-025","Bengaluru","Keeladi","71/2","2025-11-20","7.92","140.98","30","Approved"
"AWD-0023","PRJ-027","Chennai","Keezhkattalai","85/4","2025-11-20","33.54","384.57","7","Declared"
"AWD-0024","PRJ-028","Lucknow","Vadakkukarai","86/4","2025-11-20","58.92","560.45","24","Declared"
"AWD-0025","PRJ-029","Surat","Devikapuram","74/2","2025-11-20","34.14","378.43","31","Declared"
"AWD-0026","PRJ-031","Pune","Therkku Poigainallur","39/3","2025-11-20","7.26","105.56","8","Approved"
"AWD-0027","PRJ-032","Mumbai","Devikapuram","176/4","2025-11-20","22","471.66","29","Approved"
"AWD-0028","PRJ-034","Coimbatore","Kallidaikurichi","172/1","2025-11-20","8","143.93","31","Approved"
"AWD-0029","PRJ-035","Pune","Sulthanpet","145/1","2025-11-20","15.76","220.46","6","Approved"
"AWD-0030","PRJ-036","Pune","Sulthanpet","146/4","2025-11-20","27.84","262.88","8","Approved"
"AWD-0031","PRJ-037","Pune","Keeladi","235/4","2025-11-20","33.97","390.35","29","Approved"
"AWD-0032","PRJ-038","Lucknow","Kallidaikurichi","219/1","2025-11-20","32.22","236.67","8","Approved"
"AWD-0033","PRJ-039","Chennai","Vadakkukarai","78/3","2025-11-20","52.5","461.48","28","Declared"
"AWD-0034","PRJ-040","Coimbatore","Melmaruvathur","292/4","2025-11-20","6.57","226.03","28","Approved"
"AWD-0035","PRJ-041","Lucknow","Keezhkattalai","23/3","2025-11-20","7.56","119.18","22","Approved"
"AWD-0036","PRJ-042","Pune","Pazhaverkadu","94/3","2025-11-20","19.5","193.38","30","Approved"
"AWD-0037","PRJ-043","Coimbatore","Nallur","101/3","2025-11-20","22.56","257.74","15","Declared"
"AWD-0038","PRJ-044","Lucknow","Devikapuram","153/2","2025-11-20","28.09","391.9","34","Approved"
"AWD-0039","PRJ-045","Chennai","Devikapuram","210/2","2025-11-20","12.37","335.58","15","Approved"
"AWD-0040","PRJ-046","Lucknow","Alampatti","141/1","2025-11-20","22.98","360.78","30","Declared"
"AWD-0041","PRJ-047","Chennai","Sulthanpet","92/1","2025-11-20","30.43","674.8","24","Approved"
"AWD-0042","PRJ-049","Chennai","Manamadurai","120/3","2025-11-20","26.3","357.46","11","Approved"
"AWD-0043","PRJ-050","Coimbatore","Thenkudi","112/1","2025-11-20","29.56","786.73","33","Approved"
