"id","projectId","projectName","district","beneficiaryId","landArea","assessedAmount","approvedAmount","paidAmount","paymentDate","status"
"CMP-00001","PRJ-001","NH-861 Expansion","Mumbai","BEN-68332","4.95","142.88","142.88","142.88","2026-02-15","Fully Paid"
"CMP-00002","PRJ-001","NH-861 Expansion","Mumbai","BEN-22928","4.95","142.88","142.88","142.88","2026-02-15","Fully Paid"
"CMP-00003","PRJ-002","NH-72 Expansion","Lucknow","BEN-41086","6.3","134.95","134.95","128.2","2026-02-15","Partially Paid"
"CMP-00004","PRJ-002","NH-72 Expansion","Lucknow","BEN-93614","6.3","134.95","134.95","128.2","2026-02-15","Partially Paid"
"CMP-00005","PRJ-003","NH-615 Expansion","Coimbatore","BEN-89207","12","226.06","226.06","78.89","2026-02-15","Partially Paid"
"CMP-00006","PRJ-003","NH-615 Expansion","Coimbatore","BEN-80090","12","226.06","226.06","78.89","2026-02-15","Partially Paid"
"CMP-00007","PRJ-003","NH-615 Expansion","Coimbatore","BEN-95801","12","226.06","226.06","78.89","2026-02-15","Partially Paid"
"CMP-00008","PRJ-003","NH-615 Expansion","Coimbatore","BEN-94877","12","226.06","226.06","78.89","2026-02-15","Partially Paid"
"CMP-00009","PRJ-004","NH-215 Expansion","Coimbatore","BEN-30303","12.44","154.38","154.38","17.44","2026-02-15","Partially Paid"
"CMP-00010","PRJ-004","NH-215 Expansion","Coimbatore","BEN-38022","12.44","154.38","154.38","17.44","2026-02-15","Partially Paid"
"CMP-00011","PRJ-004","NH-215 Expansion","Coimbatore","BEN-58636","12.44","154.38","154.38","17.44","2026-02-15","Partially Paid"
"CMP-00012","PRJ-004","NH-215 Expansion","Coimbatore","BEN-83167","12.44","154.38","154.38","17.44","2026-02-15","Partially Paid"
"CMP-00013","PRJ-005","NH-88 Expansion","Mumbai","BEN-20406","12.21","205.16","205.16","15.59","2026-02-15","Partially Paid"
"CMP-00014","PRJ-005","NH-88 Expansion","Mumbai","BEN-23784","12.21","205.16","205.16","15.59","2026-02-15","Partially Paid"
"CMP-00015","PRJ-005","NH-88 Expansion","Mumbai","BEN-51786","12.21","205.16","205.16","15.59","2026-02-15","Partially Paid"
"CMP-00016","PRJ-005","NH-88 Expansion","Mumbai","BEN-44406","12.21","205.16","205.16","15.59","2026-02-15","Partially Paid"
