"id","projectId","surveyNumber","village","taluk","district","state","area","landType","ownershipType","lat","lng","acquisitionStatus","compensationStatus","possessionStatus","rrStatus","ownerCount"
"LP-0001-MH","PRJ-001","312/2B","Vadakkukarai","Mumbai Suburban","Mumbai","Maharashtra","4.95","Dry Land","Temple Land","19.00409","72.83009","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0002-MH","PRJ-001","315/1B","Alampatti","Mumbai Suburban","Mumbai","Maharashtra","4.95","Garden Land","Private Patta","18.91205","72.95976","Acquired","Fully Paid","Handover Completed","Completed","5"
"LP-0003-MH","PRJ-001","328/1B","Therkku Poigainallur","Mumbai Suburban","Mumbai","Maharashtra","4.95","Commercial","Assigned","19.08257","72.75225","Acquired","Fully Paid","Handover Completed","Completed","1"
"LP-0004-MH","PRJ-001","191/5B","Melmaruvathur","Mumbai Suburban","Mumbai","Maharashtra","4.95","Poramboke","Assigned","19.17534","72.83153","Acquired","Fully Paid","Handover Completed","Completed","1"
"LP-0005-UP","PRJ-002","558/4A","Sulthanpet","Sarojini Nagar","Lucknow","Uttar Pradesh","8.4","Wetland","Inam","26.70345","80.92098","Notified","Assessed","Pending","Eligible","4"
"LP-0006-UP","PRJ-002","246/3B","Alampatti","Sarojini Nagar","Lucknow","Uttar Pradesh","8.4","Residential","Private Patta","26.99937","81.12927","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0007-UP","PRJ-002","105/1A","Thenkudi","Sarojini Nagar","Lucknow","Uttar Pradesh","8.4","Residential","Private Patta","26.70058","80.83246","Notified","Assessed","Pending","Eligible","3"
"LP-0008-TN","PRJ-003","146/8B","Nallur","Coimbatore North","Coimbatore","Tamil Nadu","19.2","Wetland","Wakf","10.89148","76.87371","Disputed","Not Started","Pending","Eligible","3"
"LP-0009-TN","PRJ-003","430/1B","Keeladi","Coimbatore North","Coimbatore","Tamil Nadu","19.2","Commercial","Inam","10.95608","77.14132","Proposed","Not Started","Pending","Eligible","3"
"LP-0010-TN","PRJ-003","569/7A","Keezhkattalai","Coimbatore North","Coimbatore","Tamil Nadu","19.2","Wetland","Government","11.19292","77.04384","Proposed","Not Started","Pending","Eligible","3"
"LP-0011-TN","PRJ-003","246/1B","Kallidaikurichi","Coimbatore North","Coimbatore","Tamil Nadu","19.2","Commercial","Government","10.95035","76.97268","Proposed","Not Started","Pending","Eligible","4"
"LP-0012-TN","PRJ-003","495/6A","Keeladi","Coimbatore North","Coimbatore","Tamil Nadu","19.2","Poramboke","Assigned","10.91564","77.111","Pending","Not Started","Pending","Eligible","4"
"LP-0013-TN","PRJ-004","193/2B","Alampatti","Coimbatore North","Coimbatore","Tamil Nadu","14.21","Poramboke","Inam","11.19925","76.78721","Disputed","Not Started","Pending","Eligible","3"
"LP-0014-TN","PRJ-004","194/8B","Manamadurai","Coimbatore North","Coimbatore","Tamil Nadu","14.21","Wetland","Government","11.0489","76.76325","Pending","Not Started","Pending","Eligible","5"
"LP-0015-TN","PRJ-004","409/6B","Thenkudi","Coimbatore North","Coimbatore","Tamil Nadu","14.21","Commercial","Assigned","10.82915","76.89212","Proposed","Not Started","Pending","Eligible","4"
"LP-0016-TN","PRJ-004","414/5A","Keeladi","Coimbatore North","Coimbatore","Tamil Nadu","14.21","Dry Land","Temple Land","11.07427","76.998","Notified","Assessed","Pending","Eligible","2"
"LP-0017-TN","PRJ-004","68/2B","Thenkudi","Coimbatore North","Coimbatore","Tamil Nadu","14.21","Commercial","Inam","10.81706","76.98754","Proposed","Not Started","Pending","Eligible","2"
