"id","projectId","stage","plannedDate","actualDate","authority","status","delayDays","remarks"
"MS-00001","PRJ-001","Proposal","2025-05-25","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00002","PRJ-001","Scrutiny","2025-05-25","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00003","PRJ-001","Approval","2025-05-25","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00004","PRJ-001","Notification","2025-05-25","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00005","PRJ-001","Award","2025-05-25","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00006","PRJ-001","Compensation","2025-05-25","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00007","PRJ-001","Possession","2025-05-25","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00008","PRJ-001","R&R","2025-05-25","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00009","PRJ-001","Completion","2025-05-25","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00010","PRJ-002","Proposal","2025-04-30","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00011","PRJ-002","Scrutiny","2025-04-30","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00012","PRJ-002","Approval","2025-04-30","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00013","PRJ-002","Notification","2025-04-30","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00014","PRJ-002","Award","2025-04-30","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00015","PRJ-002","Compensation","2025-04-30","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00016","PRJ-002","Possession","2025-04-30","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00017","PRJ-002","R&R","2025-04-30",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00018","PRJ-002","Completion","2025-04-30",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00019","PRJ-003","Proposal","2025-11-15","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00020","PRJ-003","Scrutiny","2025-11-15","2025-10-15","District Authority","Delayed","26","Delayed by 26 days during inter-departmental verification."
"MS-00021","PRJ-003","Approval","2025-11-15","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
