"id","projectId","projectName","type","number","issueDate","publicationDate","status","remarks"
"NOT-0001","PRJ-001","NH-861 Expansion","Preliminary Notification","MH-LA/2025/123","2025-05-25","2025-05-25","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0002","PRJ-001","NH-861 Expansion","Declaration","MH-LA/2025/145","2025-05-25","2025-05-25","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0003","PRJ-001","NH-861 Expansion","Award Notification","MH-LA/2025/802","2025-05-25","2025-05-25","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0004","PRJ-002","NH-72 Expansion","Preliminary Notification","UP-LA/2025/987","2025-04-30","2025-04-30","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0005","PRJ-002","NH-72 Expansion","Declaration","UP-LA/2025/704","2025-04-30","2025-04-30","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0006","PRJ-003","NH-615 Expansion","Preliminary Notification","TN-LA/2025/349","2025-11-15","2025-11-15","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0007","PRJ-004","NH-215 Expansion","Preliminary Notification","TN-LA/2025/688","2025-10-02","2025-10-02","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0008","PRJ-005","NH-88 Expansion","Preliminary Notification","MH-LA/2025/690","2025-04-02","2025-04-02","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0009","PRJ-005","NH-88 Expansion","Declaration","MH-LA/2025/216","2025-04-02","2025-04-02","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0010","PRJ-006","NH-872 Expansion","Preliminary Notification","KA-LA/2025/486","2025-02-27","2025-02-27","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0011","PRJ-006","NH-872 Expansion","Declaration","KA-LA/2025/840","2025-02-27","2025-02-27","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0012","PRJ-006","NH-872 Expansion","Award Notification","KA-LA/2025/200","2025-02-27","2025-02-27","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0013","PRJ-007","RURAL ROAD-150","Preliminary Notification","TN-LA/2025/738","2025-12-12","2025-12-12","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0014","PRJ-007","RURAL ROAD-150","Declaration","TN-LA/2025/113","2025-12-12","2025-12-12","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0015","PRJ-007","RURAL ROAD-150","Award Notification","TN-LA/2025/428","2025-12-12","2025-12-12","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0016","PRJ-008","NH-344 Expansion","Preliminary Notification","MH-LA/2025/487","2025-08-17","2025-08-17","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0017","PRJ-009","RURAL ROAD-294","Preliminary Notification","UP-LA/2025/266","2025-04-27","2025-04-27","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0018","PRJ-010","NH-956 Expansion","Preliminary Notification","TN-LA/2025/301","2025-11-14","2025-11-14","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0019","PRJ-010","NH-956 Expansion","Declaration","TN-LA/2025/601","2025-11-14","2025-11-14","Issued","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0020","PRJ-011","NH-460 Expansion","Preliminary Notification","TN-LA/2025/962","2025-10-06","2025-10-06","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0021","PRJ-012","NH-253 Expansion","Preliminary Notification","KA-LA/2025/635","2025-05-07","2025-05-07","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
"NOT-0022","PRJ-013","NH-561 Expansion","Preliminary Notification","MH-LA/2025/237","2025-05-09","2025-05-09","Published","Published under Section 11/19 RFCTLARR 2013 in State Gazette."
