"id","name","agency","state","district","type","landRequired","landAcquired","landNotified","acquisitionPct","compensationPct","possessionPct","rrPct","status","stage","targetDate","estimatedCost","risk","riskScore","affectedFamilies","displacedFamilies","compensationAssessed","compensationDisbursed","lastUpdated"
"PRJ-001","NH-861 Expansion","Ministry of Heavy Industries & Infrastructure","Maharashtra","Mumbai","Highways","19.8","19.8","19.8","100","100","100","100","Completed","Completion","2028-05-15","1143","LOW","15","40","9","285.75","285.75","2026-08-24 09:22"
"PRJ-002","NH-72 Expansion","National Highways Authority of India (NHAI)","Uttar Pradesh","Lucknow","Industrial Corridor","25.2","25.2","25.2","100","95","85","75","R&R In Progress","R&R","2027-05-22","1079.6","LOW","10","46","17","269.9","256.4","2026-08-20 08:42"
"PRJ-003","NH-615 Expansion","National Highways Authority of India (NHAI)","Tamil Nadu","Coimbatore","Highways","96","47.88","59.4","49.9","34.9","20","15","Delayed","Compensation","2029-04-19","3617","HIGH","69","324","120","904.25","315.58","2026-08-21 10:18"
"PRJ-004","NH-215 Expansion","Ministry of Railways (Railway Board)","Tamil Nadu","Coimbatore","Public Infrastructure","99.5","15.97","27.91","16.1","11.3","6.4","4.8","Delayed","Award","2029-12-11","2470","HIGH","73","225","86","617.5","69.78","2026-08-25 17:27"
"PRJ-005","NH-88 Expansion","National Highways Authority of India (NHAI)","Maharashtra","Mumbai","Industrial Corridor","97.7","14.71","26.43","15.1","7.6","0","0","Award Declared","Award","2029-05-02","3282.6","MEDIUM","56","281","93","820.65","62.37","2026-08-22 08:15"
"PRJ-006","NH-872 Expansion","Ministry of Heavy Industries & Infrastructure","Karnataka","Bengaluru","Public Infrastructure","43.7","43.7","43.7","100","100","100","100","Completed","Completion","2028-05-13","1387.4","LOW","15","113","40","346.85","346.85","2026-08-23 14:23"
"PRJ-007","RURAL ROAD-150","Ministry of Heavy Industries & Infrastructure","Tamil Nadu","Coimbatore","Highways","80.5","80.5","80.5","100","100","100","100","Completed","Completion","2030-01-18","2984.5","LOW","15","262","55","746.12","746.12","2026-08-21 13:42"
"PRJ-008","NH-344 Expansion","National Highways Authority of India (NHAI)","Maharashtra","Pune","Railways","92.1","49.45","60.5","53.7","40.3","21.5","10.7","Compensation Pending","Compensation","2030-05-28","4092.2","MEDIUM","52","294","59","1023.05","412.29","2026-08-21 13:45"
"PRJ-009","RURAL ROAD-294","Ministry of Heavy Industries & Infrastructure","Uttar Pradesh","Lucknow","Industrial Corridor","26.2","26.2","26.2","100","70","40","30","Delayed","Possession","2028-09-23","901.6","MEDIUM","56","81","28","225.4","157.78","2026-08-21 15:34"
"PRJ-010","NH-956 Expansion","Ministry of Heavy Industries & Infrastructure","Tamil Nadu","Coimbatore","Highways","81.9","81.9","81.9","100","50","0","0","Approved","Approval","2030-09-18","3056.5","MEDIUM","45","176","51","764.12","382.06","2026-08-21 14:17"
"PRJ-011","NH-460 Expansion","National Highways Authority of India (NHAI)","Tamil Nadu","Coimbatore","Railways","78","10.95","20.31","14","9.8","5.6","4.2","Delayed","Notification","2029-12-05","3691","HIGH","71","158","60","922.75","90.43","2026-08-27 08:53"
"PRJ-012","NH-253 Expansion","National Highways Authority of India (NHAI)","Karnataka","Bengaluru","Railways","26","26","26","100","95","85","75","R&R In Progress","R&R","2028-04-06","1354","LOW","12","55","17","338.5","321.58","2026-08-27 08:54"
"PRJ-013","NH-561 Expansion","Ministry of Heavy Industries & Infrastructure","Maharashtra","Mumbai","Public Infrastructure","67.9","63.76","67.9","93.9","65.7","37.6","28.2","Delayed","Possession","2028-01-21","2074.8","MEDIUM","55","134","42","518.7","340.79","2026-08-23 12:39"
"PRJ-014","NH-511 Expansion","Ministry of Heavy Industries & Infrastructure","Maharashtra","Mumbai","Highways","90","56.62","67.42","62.9","56.6","44","31.4","Possession Pending","Possession","2028-07-07","3505","MEDIUM","45","182","56","876.25","495.96","2026-08-21 09:28"
"PRJ-015","NH-476 Expansion","Ministry of Heavy Industries & Infrastructure","Tamil Nadu","Chennai","Railways","49.7","23.7","29.66","47.7","35.8","19.1","9.5","Compensation Pending","Compensation","2029-10-13","2562.4","MEDIUM","52","131","41","640.6","229.33","2026-08-22 16:10"
"PRJ-016","RURAL ROAD-271","Ministry of Railways (Railway Board)","Karnataka","Bengaluru","Industrial Corridor","37.6","15.68","20.19","41.7","29.2","16.7","12.5","Delayed","Compensation","2027-06-09","1220.8","HIGH","69","115","25","305.2","89.12","2026-08-24 09:57"
"PRJ-017","NH-687 Expansion","Ministry of Railways (Railway Board)","Maharashtra","Pune","Industrial Corridor","91.5","20.17","31.15","22","11","0","0","Award Declared","Award","2029-12-25","3139","MEDIUM","54","243","53","784.75","86.32","2026-08-27 08:55"
"PRJ-018","NH-876 Expansion","Ministry of Railways (Railway Board)","Maharashtra","Mumbai","Public Infrastructure","60.3","29.74","36.98","49.3","37","19.7","9.9","Compensation Pending","Compensation","2029-09-05","1586.6","MEDIUM","51","153","57","396.65","146.76","2026-08-26 10:38"
"PRJ-019","NH-832 Expansion","National Highways Authority of India (NHAI)","Uttar Pradesh","Lucknow","Railways","99.5","54.86","66.8","55.1","38.6","22","16.5","Delayed","Compensation","2028-04-19","4668","HIGH","62","307","71","1167","450.46","2026-08-22 09:35"
"PRJ-020","NH-485 Expansion","Ministry of Railways (Railway Board)","Karnataka","Bengaluru","Highways","49.1","22.93","28.82","46.7","32.7","18.7","14","Delayed","Compensation","2029-12-17","1901.5","HIGH","69","126","32","475.38","155.45","2026-08-24 11:33"
