"id","projectId","projectName","currentStage","assignedTo","assignedRole","status","createdDate","description","priority"
"WF-0001","PRJ-002","NH-72 Expansion","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0002","PRJ-003","NH-615 Expansion","Compensation","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Compensation.","High"
"WF-0003","PRJ-004","NH-215 Expansion","Award","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Award.","High"
"WF-0004","PRJ-005","NH-88 Expansion","Award","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Award.","Medium"
"WF-0005","PRJ-008","NH-344 Expansion","Compensation","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Compensation.","Medium"
"WF-0006","PRJ-009","RURAL ROAD-294","Possession","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Possession.","High"
"WF-0007","PRJ-010","NH-956 Expansion","Approval","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Approval.","Medium"
"WF-0008","PRJ-011","NH-460 Expansion","Notification","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Notification.","High"
"WF-0009","PRJ-012","NH-253 Expansion","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0010","PRJ-013","NH-561 Expansion","Possession","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Possession.","High"
"WF-0011","PRJ-014","NH-511 Expansion","Possession","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Possession.","Medium"
"WF-0012","PRJ-015","NH-476 Expansion","Compensation","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Compensation.","Medium"
"WF-0013","PRJ-016","RURAL ROAD-271","Compensation","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Compensation.","High"
"WF-0014","PRJ-017","NH-687 Expansion","Award","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Award.","Medium"
"WF-0015","PRJ-018","NH-876 Expansion","Compensation","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Compensation.","Medium"
"WF-0016","PRJ-019","NH-832 Expansion","Compensation","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Compensation.","High"
"WF-0017","PRJ-020","NH-485 Expansion","Compensation","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Compensation.","High"
"WF-0018","PRJ-021","NH-21 Expansion","Approval","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Approval.","Medium"
"WF-0019","PRJ-022","NH-274 Expansion","Approval","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Approval.","Medium"
"WF-0020","PRJ-023","RURAL ROAD-316","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0021","PRJ-024","NH-777 Expansion","Possession","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Possession.","Medium"
"WF-0022","PRJ-025","NH-898 Expansion","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0023","PRJ-026","NH-367 Expansion","Approval","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Approval.","Medium"
"WF-0024","PRJ-030","NH-872 Expansion","Award","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Award.","Medium"
"WF-0025","PRJ-031","RURAL ROAD-390","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0026","PRJ-032","NH-772 Expansion","Compensation","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Compensation.","Medium"
"WF-0027","PRJ-033","NH-703 Expansion","Approval","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Approval.","Medium"
"WF-0028","PRJ-034","RURAL ROAD-44","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0029","PRJ-035","RURAL ROAD-446","Possession","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Possession.","High"
"WF-0030","PRJ-036","RURAL ROAD-351","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0031","PRJ-037","RURAL ROAD-456","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0032","PRJ-038","NH-252 Expansion","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0033","PRJ-040","RURAL ROAD-237","Approval","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for Approval.","Medium"
"WF-0034","PRJ-041","NH-53 Expansion","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
"WF-0035","PRJ-042","NH-217 Expansion","R&R","Land Acquisition Officer","land_acquisition_officer","Pending","2026-08-24","Review statutory files and expedite stage advancement for R&R.","Medium"
